Time_s Vibration_signal_raw Trans_Laser_Power_mW
0.0 1.68 0.00174545454545
0.001 1.6 0.0016
0.002 1.56 0.00147692307692
0.003 1.76 0.00137142857143
0.004 1.84 0.00128
0.005 1.96 0.0012
0.006 1.72 0.00112941176471
0.007 1.88 0.00106666666667
0.008 1.68 0.00101052631579
0.009 1.72 0.00096
0.01 1.64 0.000914285714286
0.011 1.68 0.000914285714286
0.012 1.52 0.000914285714286
0.013 1.4 0.000914285714286
0.014 1.4 0.000914285714286
0.015 1.48 0.000914285714286
0.016 1.52 0.000914285714286
0.017 1.32 0.000914285714286
0.018 1.08 0.0
0.019 1.16 0.0
0.02 1.04 0.000914285714286
0.021 1.0 0.000914285714286
0.022 1.0 0.00182857142857
0.023 1.16 0.00274285714286
0.024 1.24 0.00457142857143
0.025 1.04 0.00731428571429
0.026 0.92 0.0118857142857
0.027 0.92 0.0173714285714
0.028 0.8 0.0256
0.029 1.12 0.0356571428571
0.03 0.96 0.0457142857143
0.031 0.84 0.0576
0.032 0.88 0.0704
0.033 1.0 0.0841142857143
0.034 0.8 0.0987428571429
0.035 1.0 0.116114285714
0.036 0.92 0.135314285714
0.037 0.92 0.155428571429
0.038 0.76 0.173714285714
0.039 0.72 0.194742857143
0.04 0.8 0.215771428571
0.041 0.84 0.235885714286
0.042 0.68 0.256
0.043 0.52 0.2752
0.044 0.6 0.295314285714
0.045 0.52 0.312685714286
0.046 0.8 0.329142857143
0.047 0.48 0.344685714286
0.048 0.64 0.3584
0.049 0.68 0.369371428571
0.05 0.52 0.380342857143
0.051 0.6 0.369371428571
0.052 0.56 0.375771428571
0.053 0.72 0.381257142857
0.054 0.68 0.387657142857
0.055 0.44 0.391314285714
0.056 0.36 0.393142857143
0.057 0.32 0.391314285714
0.058 0.44 0.392228571429
0.059 0.64 0.392228571429
0.06 0.44 0.391314285714
0.061 0.32 0.3904
0.062 0.6 0.388571428571
0.063 0.6 0.385828571429
0.064 0.28 0.384
0.065 0.6 0.381257142857
0.066 0.56 0.378514285714
0.067 0.56 0.379428571429
0.068 0.4 0.378514285714
0.069 0.44 0.379428571429
0.07 0.4 0.380342857143
0.071 0.52 0.378514285714
0.072 0.2 0.398628571429
0.073 0.28 0.399542857143
0.074 0.28 0.399542857143
0.075 0.16 0.398628571429
0.076 0.48 0.400457142857
0.077 0.16 0.399542857143
0.078 0.36 0.4032
0.079 0.16 0.400457142857
0.08 0.44 0.399542857143
0.081 0.12 0.398628571429
0.082 0.4 0.395885714286
0.083 0.44 0.394057142857
0.084 0.32 0.395885714286
0.085 0.2 0.395885714286
0.086 0.44 0.397714285714
0.087 0.4 0.401371428571
0.088 0.12 0.400457142857
0.089 0.36 0.400457142857
0.09 0.4 0.400457142857
0.091 0.36 0.399542857143
0.092 0.12 0.400457142857
0.093 0.4 0.399542857143
0.094 0.12 0.400457142857
0.095 0.2 0.400457142857
0.096 0.36 0.398628571429
0.097 0.4 0.397714285714
0.098 0.24 0.398628571429
0.099 0.08 0.3968
0.1 0.12 0.397714285714
0.101 0.04 0.400457142857
0.102 0.36 0.399542857143
0.103 0.24 0.4032
0.104 0.36 0.406857142857
0.105 0.04 0.405942857143
0.106 0.36 0.406857142857
0.107 0.32 0.404114285714
0.108 0.32 0.404114285714
0.109 0.08 0.4032
0.11 0.32 0.402285714286
0.111 0.0 0.401371428571
0.112 0.36 0.400457142857
0.113 0.28 0.397714285714
0.114 0.32 0.394971428571
0.115 0.12 0.391314285714
0.116 0.04 0.389485714286
0.117 0.04 0.3904
0.118 0.04 0.3904
0.119 0.32 0.392228571429
0.12 0.0 0.391314285714
0.121 0.36 0.391314285714
0.122 0.0 0.391314285714
0.123 0.28 0.392228571429
0.124 0.36 0.389485714286
0.125 0.28 0.388571428571
0.126 0.0 0.3904
0.127 0.32 0.3904
0.128 0.12 0.392228571429
0.129 0.28 0.391314285714
0.13 0.16 0.393142857143
0.131 0.12 0.392228571429
0.132 0.08 0.3904
0.133 0.24 0.3904
0.134 0.28 0.391314285714
0.135 0.0 0.394057142857
0.136 0.2 0.397714285714
0.137 0.04 0.400457142857
0.138 0.28 0.401371428571
0.139 0.0 0.4032
0.14 0.04 0.4032
0.141 0.08 0.405942857143
0.142 0.0 0.407771428571
0.143 0.28 0.406857142857
0.144 0.0 0.405942857143
0.145 0.24 0.404114285714
0.146 0.12 0.400457142857
0.147 0.24 0.399542857143
0.148 0.08 0.397714285714
0.149 0.28 0.3968
0.15 0.24 0.3968
0.151 0.2 0.3968
0.152 0.28 0.397714285714
0.153 0.0 0.398628571429
0.154 0.28 0.400457142857
0.155 0.0 0.401371428571
0.156 0.32 0.401371428571
0.157 0.16 0.399542857143
0.158 0.08 0.399542857143
0.159 0.2 0.400457142857
0.16 0.28 0.399542857143
0.161 0.04 0.397714285714
0.162 0.24 0.394057142857
0.163 0.16 0.391314285714
0.164 0.32 0.389485714286
0.165 0.0 0.385828571429
0.166 0.28 0.386742857143
0.167 0.2 0.386742857143
0.168 0.24 0.386742857143
0.169 0.28 0.388571428571
0.17 0.16 0.393142857143
0.171 0.12 0.394057142857
0.172 0.28 0.393142857143
0.173 -0.04 0.394971428571
0.174 0.2 0.3968
0.175 0.24 0.3968
0.176 0.08 0.3968
0.177 0.08 0.3968
0.178 0.24 0.397714285714
0.179 0.2 0.395885714286
0.18 -0.08 0.393142857143
0.181 0.08 0.3904
0.182 0.2 0.3904
0.183 0.24 0.3904
0.184 0.12 0.389485714286
0.185 0.16 0.391314285714
0.186 0.28 0.395885714286
0.187 -0.04 0.398628571429
0.188 0.24 0.401371428571
0.189 0.04 0.404114285714
0.19 0.28 0.405942857143
0.191 0.2 0.4032
0.192 0.2 0.4032
0.193 0.24 0.4032
0.194 0.0 0.402285714286
0.195 0.24 0.400457142857
0.196 -0.04 0.3968
0.197 0.0 0.394971428571
0.198 0.24 0.392228571429
0.199 -0.04 0.392228571429
0.2 0.08 0.392228571429
0.201 0.12 0.393142857143
0.202 0.0 0.395885714286
0.203 0.2 0.3968
0.204 0.08 0.398628571429
0.205 0.08 0.399542857143
0.206 0.2 0.398628571429
0.207 0.28 0.394971428571
0.208 0.2 0.387657142857
0.209 0.32 0.376685714286
0.21 0.16 0.3584
0.211 0.16 0.337371428571
0.212 0.2 0.317257142857
0.213 0.28 0.297142857143
0.214 0.16 0.278857142857
0.215 0.08 0.260571428571
0.216 0.28 0.242285714286
0.217 0.24 0.226742857143
0.218 0.24 0.209371428571
0.219 0.2 0.193828571429
0.22 0.32 0.174628571429
0.221 0.12 0.157257142857
0.222 0.44 0.138971428571
0.223 0.24 0.118857142857
0.224 0.08 0.0987428571429
0.225 0.16 0.0795428571429
0.226 0.36 0.0612571428571
0.227 0.36 0.0438857142857
0.228 0.4 0.0283428571429
0.229 1.36 0.0146285714286
0.23 1.32 0.0064
0.231 1.16 0.00274285714286
0.232 1.16 0.00274285714286
0.233 1.24 0.00274285714286
0.234 0.92 0.00182857142857
0.235 1.2 0.000914285714286
0.236 1.04 0.0
0.237 1.04 0.0
0.238 0.88 -0.000914285714286
0.239 0.84 -0.000914285714286
0.24 0.92 -0.000914285714286
0.241 1.12 -0.000914285714286
0.242 0.72 -0.000914285714286
0.243 1.0 -0.000914285714286
0.244 1.08 -0.00182857142857
0.245 1.04 -0.00182857142857
0.246 1.0 -0.00182857142857
0.247 0.76 -0.00182857142857
0.248 0.64 -0.00274285714286
0.249 0.8 -0.00274285714286
0.25 0.6 -0.00182857142857
0.251 0.76 -0.00182857142857
0.252 0.76 -0.00182857142857
0.253 0.88 -0.00182857142857
0.254 0.8 -0.000914285714286
0.255 0.48 0.0
0.256 0.8 -0.000914285714286
0.257 0.8 -0.000914285714286
0.258 0.56 -0.000914285714286
0.259 0.68 -0.00182857142857
0.26 0.64 -0.00182857142857
0.261 0.72 -0.00182857142857
0.262 0.52 -0.00182857142857
0.263 0.56 -0.00182857142857
0.264 0.68 -0.000914285714286
0.265 0.56 0.000914285714286
0.266 0.4 0.000914285714286
0.267 0.4 0.000914285714286
0.268 0.56 0.0
0.269 0.64 0.000914285714286
0.27 0.52 0.000914285714286
0.271 0.4 0.000914285714286
0.272 0.6 0.000914285714286
0.273 0.44 0.00182857142857
0.274 0.32 0.00182857142857
0.275 0.48 0.000914285714286
0.276 0.6 0.000914285714286
0.277 0.24 0.00274285714286
0.278 0.56 0.00274285714286
0.279 0.24 0.00274285714286
0.28 0.56 0.00365714285714
0.281 0.2 0.00365714285714
0.282 0.48 0.00457142857143
0.283 0.52 0.00457142857143
0.284 0.48 0.00457142857143
0.285 0.2 0.00365714285714
0.286 0.52 0.00365714285714
0.287 0.24 0.00365714285714
0.288 0.48 0.00365714285714
0.289 0.44 0.00457142857143
0.29 0.28 0.00365714285714
0.291 0.24 0.00365714285714
0.292 0.4 0.00457142857143
0.293 0.4 0.00457142857143
0.294 0.36 0.00365714285714
0.295 0.16 0.00365714285714
0.296 0.32 0.00365714285714
0.297 0.2 0.00365714285714
0.298 0.44 0.00274285714286
0.299 0.4 0.00182857142857
0.3 0.4 0.00182857142857
0.301 0.36 0.00182857142857
0.302 0.4 0.00182857142857
0.303 0.24 0.000914285714286
0.304 0.12 0.000914285714286
0.305 0.4 0.000914285714286
0.306 0.12 0.00182857142857
0.307 0.08 0.000914285714286
0.308 0.08 0.000914285714286
0.309 0.32 0.000914285714286
0.31 0.36 0.000914285714286
0.311 0.28 0.0
0.312 0.08 0.0
0.313 0.08 -0.000914285714286
0.314 0.28 -0.000914285714286
0.315 0.2 -0.000914285714286
0.316 0.36 -0.000914285714286
0.317 0.36 -0.000914285714286
0.318 0.36 -0.000914285714286
0.319 0.04 -0.000914285714286
0.32 0.36 0.0
0.321 0.08 0.0
0.322 0.36 0.0
0.323 0.28 0.0
0.324 0.2 0.0
0.325 0.24 0.0
0.326 0.36 0.0
0.327 0.0 -0.000914285714286
0.328 0.32 -0.000914285714286
0.329 0.04 -0.000914285714286
0.33 0.32 -0.000914285714286
0.331 0.16 -0.000914285714286
0.332 0.32 0.0
0.333 0.12 0.0
0.334 0.08 0.0
0.335 0.24 0.0
0.336 0.24 0.0
0.337 0.2 0.0
0.338 0.24 0.0
0.339 0.2 0.0
0.34 0.08 0.0
0.341 0.08 0.0
0.342 0.16 0.0
0.343 0.32 0.0
0.344 0.08 0.0
0.345 0.08 -0.000914285714286
0.346 0.32 -0.000914285714286
0.347 0.04 -0.000914285714286
0.348 0.28 -0.000914285714286
0.349 0.08 -0.000914285714286
0.35 -0.04 -0.000914285714286
0.351 0.0 -0.000914285714286
0.352 0.24 -0.000914285714286
0.353 0.24 -0.000914285714286
0.354 0.24 -0.000914285714286
0.355 0.16 -0.000914285714286
0.356 0.24 -0.000914285714286
0.357 0.12 -0.000914285714286
0.358 0.08 -0.000914285714286
0.359 0.24 -0.000914285714286
0.36 0.28 -0.000914285714286
0.361 0.16 -0.000914285714286
0.362 0.2 0.0
0.363 0.2 0.0
0.364 -0.04 0.0
0.365 0.28 0.000914285714286
0.366 0.0 0.00182857142857
0.367 -0.04 0.00182857142857
0.368 -0.04 0.00182857142857
0.369 0.12 0.00182857142857
0.37 0.28 0.000914285714286
0.371 0.12 0.000914285714286
0.372 0.2 0.000914285714286
0.373 0.2 0.000914285714286
0.374 0.08 0.000914285714286
0.375 0.0 0.00182857142857
0.376 0.2 0.00182857142857
0.377 0.12 0.00182857142857
0.378 0.24 0.00182857142857
0.379 0.24 0.00182857142857
0.38 0.04 0.00274285714286
0.381 0.28 0.00274285714286
0.382 0.04 0.00274285714286
0.383 0.0 0.00182857142857
0.384 -0.04 0.00182857142857
0.385 0.04 0.00182857142857
0.386 0.28 0.00182857142857
0.387 0.0 0.00182857142857
0.388 0.24 0.00274285714286
0.389 0.08 0.00365714285714
0.39 -0.08 0.00457142857143
0.391 0.08 0.00457142857143
0.392 0.0 0.00457142857143
0.393 0.28 0.00457142857143
0.394 0.04 0.00457142857143
0.395 0.28 0.00457142857143
0.396 0.24 0.00365714285714
0.397 0.24 0.00365714285714
0.398 0.04 0.00365714285714
0.399 0.04 0.00457142857143
0.4 0.24 0.00457142857143
0.401 0.08 0.00365714285714
0.402 0.0 0.00365714285714
0.403 0.28 0.00365714285714
0.404 0.16 0.00365714285714
0.405 0.12 0.00365714285714
0.406 0.28 0.00365714285714
0.407 0.24 0.00274285714286
0.408 0.28 0.00274285714286
0.409 0.2 0.00182857142857
0.41 0.04 0.000914285714286
0.411 0.16 0.000914285714286
0.412 0.32 0.00182857142857
0.413 0.4 0.00182857142857
0.414 0.72 0.00182857142857
0.415 0.92 0.00182857142857
0.416 1.92 0.000914285714286
0.417 1.8 0.000914285714286
0.418 1.96 0.000914285714286
0.419 2.0 0.000914285714286
0.42 1.68 0.0
0.421 1.92 0.0
0.422 1.8 0.0
0.423 1.88 0.0
0.424 1.72 0.0
0.425 1.56 0.0
0.426 1.68 0.0
0.427 1.72 -0.000914285714286
0.428 1.32 -0.000914285714286
0.429 1.32 -0.000914285714286
0.43 1.56 -0.000914285714286
0.431 1.56 -0.000914285714286
0.432 1.36 -0.00182857142857
0.433 1.32 -0.00182857142857
0.434 1.16 -0.00182857142857
0.435 1.24 -0.00182857142857
0.436 1.2 -0.00182857142857
0.437 1.04 0.0
0.438 1.12 0.000914285714286
0.439 1.24 0.00274285714286
0.44 1.16 0.00457142857143
0.441 1.12 0.00731428571429
0.442 0.92 0.0109714285714
0.443 0.84 0.0164571428571
0.444 0.88 0.0237714285714
0.445 1.12 0.0329142857143
0.446 0.92 0.0429714285714
0.447 1.08 0.0548571428571
0.448 1.04 0.0676571428571
0.449 1.0 0.0813714285714
0.45 0.72 0.0987428571429
0.451 1.0 0.1152
0.452 0.8 0.133485714286
0.453 0.68 0.151771428571
0.454 0.76 0.170057142857
0.455 0.6 0.189257142857
0.456 0.64 0.210285714286
0.457 0.76 0.2304
0.458 0.84 0.2496
0.459 0.76 0.269714285714
0.46 0.52 0.287085714286
0.461 0.48 0.304457142857
0.462 0.52 0.32
0.463 0.8 0.335542857143
0.464 0.52 0.348342857143
0.465 0.44 0.357485714286
0.466 0.4 0.365714285714
0.467 0.68 0.373942857143
0.468 0.56 0.380342857143
0.469 0.72 0.387657142857
0.47 0.64 0.394971428571
0.471 0.56 0.3968
0.472 0.36 0.401371428571
0.473 0.36 0.384
0.474 0.52 0.384914285714
0.475 0.64 0.387657142857
0.476 0.44 0.387657142857
0.477 0.32 0.385828571429
0.478 0.28 0.384914285714
0.479 0.56 0.382171428571
0.48 0.6 0.379428571429
0.481 0.44 0.3776
0.482 0.36 0.374857142857
0.483 0.44 0.374857142857
0.484 0.56 0.365714285714
0.485 0.24 0.367542857143
0.486 0.44 0.3712
0.487 0.52 0.373942857143
0.488 0.52 0.374857142857
0.489 0.44 0.3776
0.49 0.44 0.3776
0.491 0.52 0.3776
0.492 0.16 0.3776
0.493 0.48 0.375771428571
0.494 0.44 0.393142857143
0.495 0.44 0.393142857143
0.496 0.48 0.389485714286
0.497 0.2 0.387657142857
0.498 0.32 0.385828571429
0.499 0.44 0.384914285714
0.5 0.28 0.385828571429
0.501 0.2 0.385828571429
0.502 0.4 0.388571428571
0.503 0.44 0.391314285714
0.504 0.32 0.394057142857
0.505 0.12 0.404114285714
0.506 0.12 0.4032
0.507 0.12 0.402285714286
0.508 0.44 0.402285714286
0.509 0.12 0.386742857143
0.51 0.4 0.384914285714
0.511 0.4 0.384914285714
0.512 0.32 0.381257142857
0.513 0.2 0.380342857143
0.514 0.4 0.3776
0.515 0.32 0.375771428571
0.516 0.36 0.374857142857
0.517 0.36 0.374857142857
0.518 0.12 0.375771428571
0.519 0.24 0.3776
0.52 0.36 0.380342857143
0.521 0.32 0.382171428571
